'Company Name', 'Internationale Vorwahl', 'Telefon', 'Telefax', 'Email', 'Internet', 'Bankverbindung', 'Straße-Adresse', 'Hausnummer', 'PLZ', 'Ort', 'Regierungsbezirk', 'Bundesland', 'Land', 'Zusätzl. Informationen', 'Rechtsform (kurz)', 'Hauptbranche WZ 2008', 'Top-Management'
Burgenland-Apotheke Mag. pharm. Tesar KG,+43,02687 482770,02687 4827773, info@apotheke-siegendorf.at, m.apotheke-siegendorf.at? 		  shop.apotheke-siegendorf.at? 		  www.apotheke-siegendorf.at,Österreichische Apothekerbank eG 1090 Wien (44220),Rathausplatz,6,7011,Siegendorf,Eisenstadt-Umgebung,Burgenland,AT,Siegendorf,KG,47730Apotheken,N/A
Burgenländischer Rinderzuchtverband eGen,+43,02682 7020,02682 702190, fleckvieh@lk-bgld.at,N/A,UniCredit Bank Austria AG 7000 Eisenstadt (20151),Esterhazystraße,15,7000,Eisenstadt,Eisenstadt(Stadt),Burgenland,AT,Eisenstadt,eG/SCE,46230Großhandel mit lebenden Tieren,Vorstand? Mitglied vertritt seit 23.02.1995 gemeinsam mit dem Obmann oder dem Obmannstellvertreter|Gerhard Auer (m)f400794184#p400794184?400788335?113iconCompProfLink1963? Markt Allhau|N/A|29.03.1995|!Vorstand? Mitglied vertritt seit 14.01.1992 gemeinsam mit dem Obmann oder dem Obmannstellvertreter|Anton Hofer (m)f400794184#p400794184?400794189?113iconCompProfLink1967? Ritzing|N/A|21.10.1994|!Vorstand? Mitglied vertritt seit 24.04.2014 gemeinsam mit der/dem Obfrau/Obmann oder dem/der Obfrau-/Obmannstellvertreter/in|Beatrix Schütz (w)f400794184#p400794184?402455188?113iconCompProfLink1988? Landsee|N/A|31.10.2014|!Vorstand? Mitglied vertritt seit 28.01.1994 gemeinsam mit dem Obmann oder dem Obmannstellvertreter|Hermann Weber (m)f400794184#p400794184?400794191?113iconCompProfLink1959? Rudersdorf|N/A|21.10.1994|!Vorsitzender? Präsident? Mitglied vertritt seit 07.04.2000 gemeinsam mit dem Obmann oder dem Obmannstellvertreter|Reinhard Jany (m)f400794184#p400794184?401164878?140iconCompProfLink1956? Unterschützen|N/A|27.04.2002|
Burgenländischer Waldverband GmbH,+43,N/A,03353 6116820, office@bwv.at, www.bwv.at,Raiffeisenbezirksbank Oberwart eGen 7400 Oberwart (33125),Hauptplatz,1,7432,Oberschützen,Oberwart,Burgenland,AT,Oberschützen,GmbH,02400Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,Geschäftsführer? vertritt seit 10.09.2008 selbständig|Dipl.Ing. Herbert Stummer (m)f401205219#p401205219?401695095?120iconCompProfLink1968? Oberpullendorf|N/A|05.12.2012|
BURGENSTADT FRIESACH Veranstaltungs GmbH,+43,04268 4300,04268 4280, tourismusinformation@friesach.at, www.friesach.at,Kärntner Sparkasse Aktiengesellschaft 9360 Friesach? Raiffeisenbank Friesach-Metnitztal? registrierte Genossenschaft mit beschränkter Haftung 9360 Friesach? Volksbank? Gewerbe- und Handelsbank Kärnten AG 9360 Friesach (20706? 39501? 42130),Fürstenhofplatz,1,9360,Friesach,Sankt Veit an der Glan,Kärnten,AT,Friesach,GmbH,82999Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.,Geschäftsführer? vertritt seit 30.07.2012 selbständig|Josef Kronlechner (m)f400955086#p400955086?401372466?120iconCompProfLink1956? St. Salvator|N/A|07.08.2012|
Burger King,+43,0662 852125,N/A, satra@oweka.de, www.burgerking.at,N/A,Franz-Brötzner-Straße,4,5071,Wals,Salzburg(Stadt),Salzburg,AT,Wals,GmbH,56103Imbissstuben u.Ä.,Geschäftsführer? vertritt seit 10.05.2000 selbständig|Klaus Satra (m)f401092637#p401092637?401092638?120iconCompProfLink1962? Wals|N/A|10.05.2000|
Burger & Partner GmbH Wirtschaftsprüfungs- und Steuerberatungsgesellschaft,+43,N/A,01 505480172, office@burger-partner.at, www.burger-partner.at,UniCredit Bank Austria AG 1030 Wien (20151),Kohlmarkt,8-10,1010,Wien,Wien  1.?Innere Stadt,Wien,AT,Wien,GmbH,94120Berufsorganisationen,Geschäftsführer? vertritt seit 03.06.1991 selbständig|Dr. Ernst Burger (m)f400302890#p400302890?400291617?120iconCompProfLink1948? Wien|N/A|03.06.1991|!Geschäftsführer? vertritt seit 28.05.2014 selbständig|Mag. Helmut Kern (m)f400302890#p400302890?400391095?120iconCompProfLink1952? Wien|N/A|01.07.2014|!Geschäftsführer? vertritt seit 24.07.2014 selbständig|Mag. Andreas Reisinger (m)f400302890#p400302890?401491702?120iconCompProfLink1976? Obersdorf|N/A|26.07.2013|!Geschäftsführer? vertritt seit 05.12.2011 gemeinsam mit einem Geschäftsführer|Mag. Bernd Winter (m)f400302890#p400302890?401578035?120iconCompProfLink1973? Wien|N/A|13.01.2016|!Geschäftsführer? vertritt seit 05.12.2011 gemeinsam mit einem Geschäftsführer|Mag. Berndt Zinnöcker (m)f400302890#p400302890?401714526?120iconCompProfLink1979? Wien|N/A|13.01.2016|
BURGERISTA Operations gmbh,+43,05 0666610,050 10106040, service@burgerista.at, www.burgerista.at,Raiffeisenlandesbank Oberösterreich Aktiengesellschaft 4020 Linz (34000),Wiener Bundesstraße,196,4050,Traun,Linz-Land,Oberösterreich,AT,Traun,GmbH,56103Imbissstuben u.Ä.,Geschäftsführer? vertritt seit 23.12.2016 selbständig|Michael Thilo Werner (m)f402409538#p402409538?402598944?120iconCompProfLink1963|N/A|03.01.2017|!Geschäftsleitung? vertritt seit 31.03.2015 selbständig|Mag. Oliver Gissauer (m)f402409538#p402409538?401465748?131iconCompProfLink1971? Wien|Prokura|29.05.2015|
Burggrafenapotheke Dr. Andreas Ratz KG,+43,0512 341517,0512 3415174, burggrafenapotheke@chello.at, www.burggrafenapotheke.at,N/A,Gumppstraße,45,6020,Innsbruck,Innsbruck-Stadt,Tirol,AT,Innsbruck,KG,47730Apotheken,N/A
BURGHART Heizung-Gas-Wasserinstallationsgesellschaft m.b.H.,+43,07229 701440,07229 7014415, office@burghart.at, www.burghart.at,Raiffeisenlandesbank Oberösterreich AG 4050 Traun? BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 4050 Traun (34500? 14000),Pyhrnbahnstraße,69,4050,Traun,Linz-Land,Oberösterreich,AT,Traun,GmbH,43220Gas-? Wasser-? Heizungs- sowie Lüftungs- und Klimainstallation,Geschäftsführer? vertritt seit 10.12.1998 selbständig|Horst Burghart (m)f400065910#p400065910?400508729?120iconCompProfLink1967? Traun|N/A|19.12.1998|
Burgschwaiger Klaus "Sport Klaus",+43,06467 7240,06467 7047, info@sportklaus.at, www.sportklaus.at,RAIFFEISENBANK BISCHOFSHOFEN registrierte Genossenschaft mit beschränkter Haftung 5505 Mühlbach am Hochkönig (35310),Mühlbach,154,5505,Mühlbach am Hochkönig,Sankt Johann im Pongau,Salzburg,AT,Mühlbach am Hochkönig,eK,47641Einzelhandel mit Fahrrädern? Fahrradteilen und -zubehör,N/A
Burgstaller Bau GmbH,+43,0512 572246,0512 57224620, office@burgstallerbau.at, www.burgstallerbau.at,Bank für Tirol und Vorarlberg Aktiengesellschaft 6020 Innsbruck (16000),Anichstraße,11,6020,Innsbruck,Innsbruck-Stadt,Tirol,AT,Innsbruck,GmbH,70109Sonstige Verwaltung und Führung von Unternehmen und Betrieben,Geschäftsführer? vertritt seit 08.02.2012 selbständig|Andrea Burgstaller (w)f400936968#p400936968?402286705?120iconCompProfLink1962? Aldrans|N/A|15.02.2012|
Burgstaller Gabelstapler GmbH,+43,07613 8010,07613 801020, office@burgstaller.cc, www.burgstaller.cc,RAIFFEISENBANK VÖCKLABRUCK UND UMGEBUNG reg.Gen.m.b.H. 4800 Attnang-Puchheim (34710),Loitesberg,1,4663,Laakirchen,Gmunden,Oberösterreich,AT,Laakirchen,GmbH,45190Handel mit Kraftwagen mit einem Gesamtgewicht von mehr als 3?5 t,Geschäftsführer? vertritt seit 18.01.2006 selbständig|Paul Christian Burgstaller (m)f401525611#p401525611?401525612?120iconCompProfLink1969? Laakirchen|N/A|18.01.2006|
Burgstaller Gesellschaft m.b.H.,+43,04762 55420,04762 36490, office@autohaus-burgstaller.at, www.autohaus-burgstaller.at,RAIFFEISEN-BEZIRKSBANK SPITTAL/DRAU reg.Gen.m.b.H. 9800 Spittal an der Drau (39267),Villacher Straße,104,9800,Spittal an der Drau,Spittal an der Drau,Kärnten,AT,Spittal an der Drau,GmbH,45110Handel mit Kraftwagen mit einem Gesamtgewicht von 3?5 t oder weniger,Geschäftsführer? vertritt seit 18.01.1989 selbständig|Gerhard Burgstaller (m)f400362461#p400362461?400668038?120iconCompProfLink1957? Spittal an der Drau|N/A|18.01.1989|
Burgstaller Waffenhandel Gesellschaft m.b.H.,+43,04762 822280,04762 822282, info@waffen-burgstaller.at, www.waffen-burgstaller.at,Kärntner Sparkasse Aktiengesellschaft 9871 Seeboden (20706),Treffling,110,9871,Seeboden,Spittal an der Drau,Kärnten,AT,Seeboden,GmbH,46492Großhandel mit Fahrrädern? Fahrradteilen und -zubehör? Sport- und Campingartikeln (ohne Campingmöbel),Geschäftsführer? vertritt seit 05.02.1991 selbständig|Ingenieur Sepp Burgstaller (m)f400066752#p400066752?400179153?120iconCompProfLink1954? Seeboden|N/A|05.02.1991|
Burg-Vital-Hotel GmbH & Co KG,+43,05583 3140,05583 314016, office@burgvitalresort.com, www.burgvitalresort.com,VORARLBERGER LANDES- UND HYPOTHEKENBANK AG 6764 Lech? Raiffeisenbank Lech/Arlberg? registrierte Genossenschaft mit beschränkter Haftung 6764 Lech (58008? 37449),Lech,568,6764,Lech,Bludenz,Vorarlberg,AT,Lech,KG,55101Hotels (ohne Hotels garnis),N/A
Burisch Elektronik Bauteile GmbH,+43,01 277200,01 277206, info@burisch.net, www.burisch.net,UniCredit Bank Austria AG 1030 Wien? Erste Bank der österreichischen Sparkassen AG 1010 Wien? BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 1018 Wien? Raiffeisenlandesbank Niederösterreich-Wien AG 1010 Wien? VOLKSBANK WIEN AG 1090 Wien (20151? 20111? 14000? 31100? 43000),Leopoldauer Straße,29,1210,Wien,Korneuburg,Wien,AT,Wien,GmbH,46432Großhandel mit elektrischen Haushaltsgeräten,Geschäftsführer? vertritt seit 03.12.1998 selbständig|Ingenieur Ferdinand Lang (m)f401005146#p401005146?400758416?120iconCompProfLink1963? Mödling|N/A|03.12.1998|!Geschäftsleitung? vertritt seit 09.05.2016 gemeinsam mit einem Geschäftsführer oder einem weiteren Prokuristen|Dipl.Ing. Hellmar Adler (m)f401005146#p401005146?402565847?131iconCompProfLink1981? Sulz im Wienerwald|Prokura|21.05.2016|!Geschäftsleitung? vertritt seit 09.05.2016 gemeinsam mit einem Geschäftsführer oder einem weiteren Prokuristen|Mag. Ullrich Dellinger (m)f401005146#p401005146?401174330?131iconCompProfLink1957? Kritzendorf|Prokura|21.05.2016|!Geschäftsleitung? vertritt seit 01.03.2000 selbständig|Mag. Andrea Gfällner (w)f401005146#p401005146?401088877?131iconCompProfLink1964? Gerasdorf|Prokura|13.04.2000|
Burisch Elektro-Systemtechnik Gesellschaft m.b.H.,+43,01 250010,01 2599702, office@burisch.co.at, www.burisch.co.at,UniCredit Bank Austria AG 1030 Wien? BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 1018 Wien (20151? 14000),Percostraße,16,1220,Wien,Wien 22.?Donaustadt,Wien,AT,Wien,GmbH,46693Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf,Geschäftsführer? vertritt seit 16.01.1989 selbständig|Ingenieur Alfred Lehner (m)f400051008#p400051008?400190210?120iconCompProfLink1944? Wien|N/A|01.01.1989|!Geschäftsleitung? vertritt seit 01.09.1997 gemeinsam mit einem Geschäftsführer oder einem zweiten Prokuristen|Rudolf Amon (m)f400051008#p400051008?400939953?131iconCompProfLink1966? Wien|Prokura|31.10.1997|!Geschäftsleitung? vertritt seit 20.08.2012 gemeinsam mit einem Geschäftsführer oder einem zweiten Prokuristen|Gerald Lehner (m)f400051008#p400051008?402330851?131iconCompProfLink1983? Wien|Prokura|31.08.2012|
Burkia Gastronomie GmbH,+43,0512 284364,0512 662234, info@burkia.at, www.burkia.at,N/A,Fürstenweg,172,6020,Innsbruck,Innsbruck-Stadt,Tirol,AT,Innsbruck,GmbH,56104Cafés,Geschäftsführer? vertritt seit 12.09.2008 selbständig|Mag. Christian Burkia (m)f401694358#p401694358?401623129?120iconCompProfLink1968? Münster|N/A|12.09.2008|!Geschäftsführer? vertritt seit 12.09.2008 selbständig|Jürgen Burkia (m)f401694358#p401694358?401694359?120iconCompProfLink1970? Innsbruck|N/A|12.09.2008|
Burtscher Böden GmbH,+43,05552 630750,N/A, N/A,N/A,N/A,Landstraße,25,6714,Nüziders,Bludenz,Vorarlberg,AT,Nüziders,GmbH,43330Fußboden-? Fliesen- und Plattenlegerei? Tapeziererei,Geschäftsführer? vertritt seit 25.09.2012 selbständig|Engelbert Burtscher (m)f402334016#p402334016?400948890?120iconCompProfLink1954? Nüziders|N/A|25.09.2012|!Geschäftsführer? vertritt seit 20.03.2017 selbständig|Monika Burtscher (w)f402334016#p402334016?402612720?120iconCompProfLink1967? Ludesch|N/A|25.03.2017|
Bus & LKW-Service GmbH,+43,05242 72828,05242 728284, office@bls.at, www.bls.at,SPARKASSE SCHWAZ AG 6130 Schwaz? Volksbank Tirol Innsbruck-Schwaz AG 6130 Schwaz (20510? 45460),Hermine-Berghofer-Straße,47,6130,Schwaz,Schwaz,Tirol,AT,Schwaz,GmbH,52219Erbringung von sonstigen Dienstleistungen für den Landverkehr a. n. g.,Geschäftsführer? vertritt seit 13.11.2004 selbständig|Martin Ledermair (m)f401445928#p401445928?400437241?120iconCompProfLink1962? Schwaz|N/A|13.11.2004|
Busatis GmbH,+43,07489 70700,07489 2715, office@busatis.com, www.busatis.com,UniCredit Bank Austria AG 3100 St. Pölten? Volksbank Ötscherland reg.Gen.m.b.H. 3251 Purgstall an der Erlauf? Oberbank AG? Zweigniederlassung Niederösterreich 3100 St. Pölten (12000? 40850? 15021),Busatisstraße,15,3251,Purgstall an der Erlauf,Scheibbs,Niederösterreich,AT,Purgstall an der Erlauf,GmbH,28300Herstellung von land- und forstwirtschaftlichen Maschinen,Geschäftsführer? vertritt seit 02.08.2007 selbständig|Mag. Christoph Jordan (m)f400346587#p400346587?400856938?120iconCompProfLink1964? Purgstall an der Erlauf|N/A|09.08.2007|!Geschäftsleitung? vertritt seit 17.05.1997 selbständig|Dipl.Ing. Alois Kröll (m)f400346587#p400346587?400292415?131iconCompProfLink1942? Purgstall an der Erlauf|Prokura|17.05.1997|
Busch Austria Gesellschaft m.b.H.,+43,02262 756650,02262 7566520, busch@busch.at, www.buschvacuum.com? 		  www.busch.at,Sparkasse Korneuburg AG 2100 Korneuburg (20227),Josef Hafner-Straße,6,2100,Korneuburg,Korneuburg,Niederösterreich,AT,Korneuburg,GmbH,46692Großhandel mit sonstigen Maschinen,Geschäftsführer? vertritt seit 01.01.2001 selbständig|Ingenieur Karl Blümel (m)f400059249#p400059249?401206437?120iconCompProfLink1961? Neunkirchen|N/A|01.02.2001|
Busch Gesellschaft m.b.H.,+43,N/A,01 5057214, N/A,N/A,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 1018 Wien (14000),c/o TRUST Treuhand- und Steuerberatung G,N/A,1020,Wien,Wien  2.?Leopoldstadt,Wien,AT,Wien,GmbH,46432Großhandel mit elektrischen Haushaltsgeräten,Geschäftsführer? vertritt seit 26.04.2010 selbständig|Mag. Kurt Wallnberger (m)f400000571#p400000571?400410018?120iconCompProfLink1960? Wien|N/A|05.05.2010|
Busch Semiconductor Vacuum Group GmbH,+43,04242 51751,04242 5175130, info@buschvg.at, www.buschsvg.at,RAIFFEISEN BANK VILLACH reg.Gen.m.b.H. 9500 Villach (39496),Tiroler Straße,80,9500,Villach,Villach(Stadt),Kärnten,AT,Villach,GmbH,46692Großhandel mit sonstigen Maschinen,Geschäftsführer? vertritt seit 31.03.2016 selbständig|Stefan Pöcher (m)f401021413#p401021413?402566050?120iconCompProfLink1981? Villach|N/A|24.05.2016|
Buschina & Partner Ziviltechniker GmbH,+43,01 44014220,01 440142222, office@buschina.at, www.buschina.at,N/A,Neuwaldegger Straße,1,1170,Wien,Wien 17.?Hernals,Wien,AT,Wien,GmbH,71122Ingenieurbüros für technische Fachplanung und Ingenieurdesign,Geschäftsführer? vertritt seit 09.05.2001 selbständig|Dipl.Ing. Martin Buschina (m)f401223578#p401223578?401223580?120iconCompProfLink1967? Wien|N/A|09.05.2001|!Geschäftsführer? vertritt seit 18.01.2017 selbständig|Dipl.Ing. David Volny (m)f401223578#p401223578?402604522?120iconCompProfLink1976? Wien|N/A|04.02.2017|
Bushdoctor GmbH,+43,02236 377071,N/A, N/A,N/A,N/A,Kirchengasse,19,1070,Wien,Wien  7.?Neubau,Wien,AT,Wien,GmbH,47191Einzelhandel mit Waren verschiedener Art (ohne Nahrungsmittel),Geschäftsführer? vertritt seit 14.02.2015 selbständig|Mag. Harald Schubert (m)f402473357#p402473357?400976025?120iconCompProfLink1967? Perchtoldsdorf|N/A|14.02.2015|
Business Circle, Management Fortbildungs GmbH,+43,01 52258200,01 522582018, info@businesscircle.at, www.businesscircle.at,VORARLBERGER LANDES- UND HYPOTHEKENBANK AG 1010 Wien (58020),Ölzeltgasse,3,1030,Wien,Wien  3.?Landstraße,Wien,AT,Wien,GmbH,70220Unternehmensberatung,Geschäftsführer? vertritt seit 01.07.2001 gemeinsam mit einem weiteren Geschäftsführer|Romana Faisst-Necas (w)f400424613#p400424613?400424625?120iconCompProfLink1963? Wien|N/A|10.03.1994|!Geschäftsführer? vertritt seit 01.07.2016 gemeinsam mit Romana Faisst-Necas|Mag. Gerhard Pichler (m)f400424613#p400424613?401287047?120iconCompProfLink1967? Wien|N/A|12.04.2002|
Business Data Consulting GesmbH,+43,01 8790736,01 879073620, office@bdcg.at, www.bdcg.at,UniCredit Bank Austria AG 1010 Wien (12000),Neubaugasse,10,1070,Wien,Wien  7.?Neubau,Wien,AT,Wien,GmbH,62030Betrieb von Datenverarbeitungseinrichtungen für Dritte,Geschäftsführer? vertritt seit 13.03.2002 selbständig|Gernot Mach (m)f401026119#p401026119?400152440?120iconCompProfLink1962? Judenburg|N/A|09.04.2002|
Business Data Solutions GmbH,+43,02622 82570,02622 8257090, office@bds.info, www.bds.info,Raiffeisenbank Neunkirchen - Schwarzatal-Mitte eGen 2620 Neunkirchen (32865),Fischauer Gasse,150,2700,Wr. Neustadt,Wiener Neustadt(Stadt),Niederösterreich,AT,Wr. Neustadt,GmbH,62030Betrieb von Datenverarbeitungseinrichtungen für Dritte,Geschäftsführer? vertritt seit 07.09.2004 selbständig|Thomas Götzinger (m)f401424002#p401424002?400889262?120iconCompProfLink1976? Kleinwolkersdorf|N/A|07.09.2004|!Geschäftsführer? vertritt seit 07.09.2004 selbständig|Stefan Huber (m)f401424002#p401424002?400889264?120iconCompProfLink1972? St. Egyden am Steinfelde|N/A|07.09.2004|
business lounge GmbH,+43,05 900980680,N/A, cihal.michael@allianz.at, www.allianz.at,UniCredit Bank Austria AG 1030 Wien? Erste Bank der österreichischen Sparkassen AG 1010 Wien? BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 1018 Wien (20151? 20111? 14000),Hietzinger Kai,101-105,1130,Wien,Wien 13.?Hietzing,Wien,AT,Wien,GmbH,56101Restaurants mit herkömmlicher Bedienung,Geschäftsführer? vertritt seit 01.04.2004 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|Mag. Christian von Amelunxen (m)f400321972#p400321972?401411429?120iconCompProfLink1962? Wien|N/A|17.06.2004|!Geschäftsführer? vertritt seit 01.12.1999 selbständig|Michael Cihal (m)f400321972#p400321972?401070233?120iconCompProfLink1968? Wien|N/A|06.01.2000|
BUSINESS SOFTWARE GmbH,+43,0463 38430,0463 384318, office@bsoftware.at, www.bsoftware.at,UniCredit Bank Austria AG 1030 Wien (20151),Primoschgasse,3,9020,Klagenfurt,Klagenfurt(Stadt),Kärnten,AT,Klagenfurt,GmbH,47410Einzelhandel mit Datenverarbeitungsgeräten? peripheren Geräten und Software ,Geschäftsführer? vertritt seit 11.07.1998 selbständig|Dipl.Ing. Johannes Schwaiger (m)f400982536#p400982536?400431336?120iconCompProfLink1963? Maria Wörth|N/A|11.07.1998|!Geschäftsleitung? vertritt seit 19.02.1999 selbständig|Dipl.Ing. Michael Krutner (m)f400982536#p400982536?401020743?131iconCompProfLink1964? Voitsberg|Prokura|03.03.1999|!Geschäftsleitung? vertritt seit 08.07.2014 selbständig|Barbara Malle (w)f400982536#p400982536?401379370?131iconCompProfLink1965? Feldkirchen|Prokura|08.07.2014|!Geschäftsleitung? vertritt seit 09.02.2017 selbständig|Mag. Sonja Url-Zacharias (w)f400982536#p400982536?402606405?131iconCompProfLink1975? Graz|Prokura|17.02.2017|
Business Upper Austria - OÖ Wirtschaftsagentur GmbH,+43,0732 798100,0732 798105008, info@biz-up.at, www.biz-up.at,Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft 4020 Linz? Oberbank AG 4020 Linz? Raiffeisenlandesbank Oberösterreich Aktiengesellschaft 4020 Linz (20320? 15000? 34000),Hafenstraße,47-51,4020,Linz,Linz(Stadt),Oberösterreich,AT,Linz,GmbH,73110Werbeagenturen,Geschäftsführer? vertritt seit 22.12.2015 selbständig|Dipl.Ing. Werner Pamminger (m)f400289268#p400289268?401519664?120iconCompProfLink1972? Lembach im Mühlkreis|N/A|21.08.2014|!Geschäftsleitung? vertritt seit 01.10.2016 gemeinsam mit einem/einer Geschäftsführer/in oder einer/einem weiteren Prokuristin/Prokuristen|Christian Altmann (m)f400289268#p400289268?402587852?131iconCompProfLink1980|Prokura|20.10.2016|
BUSREISEN HEISS GmbH,+43,05242 66355,05242 6635504, info@ledermair.at, www.ledermair.at,Raiffeisen Regionalbank Hall in Tirol eGen 6060 Hall in Tirol? Tiroler Sparkasse Bankaktiengesellschaft Innsbruck 6010 Innsbruck (36362? 20503),Unterer Stadtplatz,15,6060,Hall in Tirol,Innsbruck-Land,Tirol,AT,Hall in Tirol,GmbH,79110Reisebüros,Geschäftsführer? vertritt seit 16.04.2003 selbständig|Martin Ledermair (m)f400542624#p400542624?400437241?120iconCompProfLink1962? Schwaz|N/A|29.04.2003|!Geschäftsleitung? vertritt seit 24.08.2016 selbständig|Alexander Ledermair (m)f400542624#p400542624?402328186?131iconCompProfLink1987? Rinn|Prokura|02.09.2016|
Busreisen Tirol GmbH,+43,0512 2455519,0512 266460, busreisen-tirol@lueftner.at, www.lueftner.at,Raiffeisen-Landesbank Tirol AG 6020 Innsbruck (36000),Bundesstraße,23,6063,Rum,Innsbruck-Land,Tirol,AT,Rum,GmbH,49399Personenbeförderung im Landverkehr a. n. g.,Geschäftsführer? vertritt seit 28.05.1994 selbständig|Christof Lüftner (m)f400465094#p400465094?400403296?120iconCompProfLink1948? Angerberg|N/A|28.05.1994|
Busreisen Wintereder GmbH,+43,07672 750010,N/A, busreisen@wintereder.at, www.wintereder.at,Oberbank AG 4840 Vöcklabruck? VOLKSKREDITBANK AG 4840 Vöcklabruck (15120? 18600),Industriestraße,32,4840,Vöcklabruck,Vöcklabruck,Oberösterreich,AT,Vöcklabruck,GmbH,49399Personenbeförderung im Landverkehr a. n. g.,Geschäftsführer? vertritt seit 18.01.2017 selbständig|Franz Mittendorfer (m)f400331129#p400331129?401570374?120iconCompProfLink1965? Schörfling|N/A|26.01.2017|
Bussetti & Co Gesellschaft m.b.H.,+43,01 48612210,01 4861221155, office@bussetti.at, www.bussetti.at,UniCredit Bank Austria AG 1030 Wien? BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 1010 Wien (20151? 14000),Rötzergasse,57,1170,Wien,Wien 17.?Hernals,Wien,AT,Wien,GmbH,20590Herstellung von sonstigen chemischen Erzeugnissen a. n. g.,Geschäftsführer? vertritt seit 09.03.2015 selbständig|Dr. Michael Kunz (m)f401519048#p401519048?402479348?120iconCompProfLink1975? Wien|N/A|21.03.2015|!Geschäftsleitung? vertritt seit 01.04.2016 gemeinsam mit einem Geschäftsführer oder einem weiteren Gesamtprokuristen|Mag. Markus Enzenhofer (m)f401519048#p401519048?401187795?131iconCompProfLink1965? Wien|Prokura|30.04.2016|!Geschäftsleitung? vertritt seit 01.04.2016 gemeinsam mit einem Geschäftsführer oder einem weiteren Gesamtprokuristen|Dipl.Ing. Beate Ibounig (w)f401519048#p401519048?402562715?131iconCompProfLink1966? Wien|Prokura|30.04.2016|
Busunternehmen Seiner GmbH,+43,04762 42316,04762 42451, office@busreisenseiner.at, m.busreisen-seiner.at? 		  www.busreisenseiner.at? 		  www.busreisen-seiner.at,N/A,Gartenstraße,78,9851,Lieserbrücke,Spittal an der Drau,Kärnten,AT,Lieserbrücke,GmbH,79110Reisebüros,Geschäftsführer? vertritt seit 15.04.2009 selbständig|Werner Obereder (m)f401730957#p401730957?401730958?120iconCompProfLink1976? Spittal an der Drau|N/A|15.04.2009|!Geschäftsführer? vertritt seit 15.04.2009 selbständig|Gerhard Seiner (m)f401730957#p401730957?401048928?120iconCompProfLink1971? Lieserbrücke|N/A|15.04.2009|
butcher work gmbh,+43,02172 8817,02172 20170, office@butcher-work.at, www.butcher-work.at,N/A,Kaiserallee,6,7131,Halbturn,Neusiedl am See,Burgenland,AT,Halbturn,GmbH,10130Fleischverarbeitung,Geschäftsführer? vertritt seit 05.08.2009 selbständig|Walter Krutzler (m)f401834366#p401834366?401335803?120iconCompProfLink1958? Halbturn|N/A|05.08.2009|
Butlers Handel GmbH,+43,01 5857108,01 5810912, N/A, www.butlers.de,N/A,Mariahilfer Straße,17,1070,Wien,Wien  7.?Neubau,Wien,AT,Wien,GmbH,47599Einzelhandel mit Haushaltsgegenständen a. n. g.,Geschäftsführer? vertritt seit 20.12.2005 selbständig|Jörg Arndt (m)f401519636#p401519636?401535175?120iconCompProfLink1967|N/A|28.02.2006|!Geschäftsführer? vertritt seit 01.01.2010 selbständig|Jörg Funke (m)f401519636#p401519636?402010219?120iconCompProfLink1964|N/A|24.04.2010|
Buttazoni Gesellschaft m.b.H.,+43,04276 2556,04276 25566, office@buttazoni.at, www.buttazoni.at,Sparkasse Feldkirchen/Kärnten 9562 Himmelberg (20702),Oberboden,6,9562,Himmelberg,Feldkirchen,Kärnten,AT,Himmelberg,GmbH,43999Baugewerbe a. n. g.,Geschäftsführer? vertritt seit 20.10.1986 selbständig|Ingenieur Armin Buttazoni (m)f400025204#p400025204?400186153?120iconCompProfLink1950? Himmelberg|N/A|20.10.1986|!Geschäftsführer? vertritt seit 01.03.2010 selbständig|Dipl.Ing. Armin Buttazoni (m)f400025204#p400025204?401635464?120iconCompProfLink1979? Himmelberg|N/A|02.03.2010|
Buttenhauser GmbH,+43,07742 26100,07742 26104, N/A,N/A,Salzburger Sparkasse Bank Aktiengesellschaft 5230 Mattighofen (20321),Stallhofen,60,5231,Schalchen,Braunau am Inn,Oberösterreich,AT,Schalchen,GmbH,38110Sammlung nicht gefährlicher Abfälle,Geschäftsführer? vertritt seit 04.07.2001 selbständig|Annelore Edith Buttenhauser (w)f401233232#p401233232?401163979?120iconCompProfLink1964? Schalchen|N/A|04.07.2001|
